OBJECTID,Id,Company,Status,StatusStart,LatestEventStart,LatestEventEnd,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,x,y
1108,WXW00618,Wessex Water,0,2/18/2026 8:58:00 PM,2/18/2026 7:30:00 PM,2/18/2026 8:58:00 PM,50.8551331500567,-2.16061939632247,RIVER STOUR(S),3/9/2026 5:33:26 PM,-240519.050996688,6595708.34912693
1109,WXW00341,Wessex Water,0,,,,50.8171591453806,-2.11627129490585,RIVER STOUR,3/9/2026 5:33:26 PM,-235582.242929341,6589014.79805315
1110,WSX10057,Wessex Water,0,2/18/2026 11:06:00 PM,2/18/2026 6:28:00 PM,2/18/2026 11:06:00 PM,50.7101737486262,-2.00745397813444,WAREHAM CHANNEL,3/9/2026 5:33:26 PM,-223468.754636858,6570186.05662133
1111,WXW00955,Wessex Water,0,8/29/2025 4:53:00 AM,8/29/2025 4:32:00 AM,8/29/2025 4:53:00 AM,50.6894123315689,-1.939612770921,POOLE HARBOUR,3/9/2026 5:33:26 PM,-215916.705995056,6566537.16173705
1112,WSX10118,Wessex Water,0,11/5/2025 10:38:00 PM,11/5/2025 9:42:00 PM,11/5/2025 10:38:00 PM,50.7073209504256,-1.94825693423963,POOLE HARBOUR,3/9/2026 5:33:26 PM,-216878.96985402,6569684.57116892
1113,WXW00228,Wessex Water,0,,,,50.7467165189005,-1.97794380393,HATCH POND STREAM,3/9/2026 5:33:26 PM,-220183.697071198,6576612.5094195
1114,WXW00896,Wessex Water,0,2/18/2026 10:53:00 PM,2/18/2026 10:52:00 PM,2/18/2026 10:53:00 PM,50.7741397529031,-1.93708688274011,KNIGHTON STREAM(TRIB.R.STOUR),3/9/2026 5:33:26 PM,-215635.525408959,6581438.48553289
1115,WSX10058,Wessex Water,0,,,,50.710227699087,-2.00753896340832,POOLE HARBOUR,3/9/2026 5:33:26 PM,-223478.21515427,6570195.54071664
1116,WXW00866,Wessex Water,0,8/29/2025 5:36:00 AM,8/29/2025 5:22:00 AM,8/29/2025 5:36:00 AM,50.7129318317303,-1.99240126252128,"BACKWATER CHANNEL,POOLE HARB.",3/9/2026 5:33:26 PM,-221793.093999744,6570670.9213861
1117,WSX10059,Wessex Water,0,8/29/2025 4:54:00 AM,8/29/2025 4:24:00 AM,8/29/2025 4:54:00 AM,50.7319090110757,-1.99171548871991,HOLES BAY,3/9/2026 5:33:26 PM,-221716.754009376,6574007.84027749
1118,WSX10139,Wessex Water,0,,,,50.7819321989177,-1.97328142164305,ARROWSMITH TRIB OF RIVER STOUR,3/9/2026 5:33:26 PM,-219664.683049131,6582810.3264449
1119,WSX10060,Wessex Water,0,1/27/2026 4:52:00 AM,1/27/2026 2:34:00 AM,1/27/2026 4:52:00 AM,50.7138519046879,-1.99473546507295,"BACK WATER CHANNEL, Poole Harb",3/9/2026 5:33:26 PM,-222052.936239204,6570832.67447476
1120,WXW00342,Wessex Water,0,,,,50.7374936650627,-1.996107529026,HOLES BAY VIA SWS (ESTUARINE),3/9/2026 5:33:26 PM,-222205.673699794,6574990.09493898
1121,WXW00529,Wessex Water,0,,,,50.7258969885251,-2.01259665162327,HOLES BAY (VIA SWS) ESTUARINE,3/9/2026 5:33:26 PM,-224041.23443095,6572950.54894692
1122,WXW01181,Wessex Water,0,,,,51.0380253665651,-2.80669500571939,WAGG DROVE RHYNE,3/9/2026 5:33:26 PM,-312439.858848707,6628022.72810894
1123,WXW00852,Wessex Water,0,,,,51.0811528650918,-2.32750950395363,RIVER STOUR,3/9/2026 5:33:26 PM,-259097.172796623,6635661.2985322
1124,WXW01000,Wessex Water,0,,,,51.0056612329178,-2.419611370701,BOW BROOK(S),3/9/2026 5:33:26 PM,-269349.90570405,6622295.19039732
1125,WXW00963,Wessex Water,0,,,,51.106009744119,-2.92887792553043,PIGDITCH RHYNE,3/9/2026 5:33:26 PM,-326041.199265707,6640067.08494205
1126,WXW00346,Wessex Water,0,2/21/2026 1:57:00 PM,2/21/2026 10:50:00 AM,2/21/2026 1:57:00 PM,51.2885566716938,-2.83591305197005,CROSS RHYNE,3/9/2026 5:33:26 PM,-315692.396879305,6672495.65862475
1127,WSX10097,Wessex Water,0,,,,51.1352965744769,-2.94411304146048,TRIB OF KINGS SEDGEMOOR DRAIN,3/9/2026 5:33:26 PM,-327737.164613217,6645261.10461736
1128,WXW01175,Wessex Water,0,,,,51.1775706220882,-3.00048932138132,TRIB OF PARRETT ESTUARY(S),3/9/2026 5:33:26 PM,-334012.943386823,6652764.22044084
1129,WXW01214,Wessex Water,0,1/27/2026 8:54:00 AM,1/27/2026 5:34:00 AM,1/27/2026 8:54:00 AM,51.1354235566497,-3.01972592462879,CROWPILL RHYNE(S),3/9/2026 5:33:26 PM,-336154.352264924,6645283.63207835
1130,WXW00396,Wessex Water,0,,,,50.711888637433,-1.98155306627243,POOLE HARBOUR (ESTAURINE),3/9/2026 5:33:26 PM,-220585.478317297,6570487.52683616
1131,WXW00197,Wessex Water,0,,,,51.1096879681538,-2.93413100860485,TRIBUTARY OF HAMROD RHYNE,3/9/2026 5:33:26 PM,-326625.969798646,6640719.23724918
1132,WSX10061,Wessex Water,0,,,,51.2077343055212,-2.93786366791609,RIVER BRUE,3/9/2026 5:33:26 PM,-327041.487532478,6658122.10453249
1133,WXW00701,Wessex Water,0,2/9/2026 4:26:00 AM,2/9/2026 2:20:00 AM,2/9/2026 4:26:00 AM,51.1726809874154,-2.93441301064845,TRIB OF HUNTSPILL RIVER(S),3/9/2026 5:33:26 PM,-326657.362122542,6651896.01961329
